Year;Rank;Name;Citizenship;Country Code;Net Worth Billion;Age;Industry Aggregates;Selfmade;Generation of Inheritance;Type of Wealth;Industry;Relationship to Company;Gender;Source of Wealth;Sector;Company;Company type;Founding Date;Political Connection;GDP Currentus;Region;Notes;Notes 2;Deflator 1996;Real Net Worth;Characteristics
2014;281;Anil Ambani;India;IND;5.0;54.0;Financial;self-made;;self-made finance;Diversified financial;relation;male;diversified;textiles;Reliance;new;1980;;;South Asia;(Got a license), joined father's firm one year after textile liscence granted;;138.802093506;3.60225105286;North,Founder,Real Billionaires
1996;58;Anne Cox Chambers;United States;USA;4.0;76.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;female;;media;Cox Enterprises;aquired;1898;;8100200000000.0;North America;inherited from brother;primary owner, since the death of her brother, she and sister took over the company;100.000007629;3.99999976158;North,Founder,Real Billionaires
2014;58;Anne Cox Chambers;United States;USA;15.5;94.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;female;media;media;Cox Enterprises;aquired;1898;;;North America;inherited from brother;;138.802093506;11.1669788361;North,Founder,Real Billionaires
2014;1270;Anton Kathrein, Jr.;Germany;DEU;1.35;29.0;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;male;antennas;antennas;Katherine Werke AG;new;1919;;;Europe;3rd generation;;138.802093506;0.972607851028;North,Founder,Real Billionaires
2014;483;Antti Herlin;Finland;FIN;3.3;57.0;Traded Sectors;inherited;Fourth generation;inherited;Non-consumer industrial;relation;male;elevators, escalators;elevators, escalators, engineering;Kone Corporation;aquired;1910;;;Europe;4th generation;;138.802093506;2.37748575211;North,Founder,Real Billionaires
2014;15;Bernard Arnault;France;FRA;33.5;64.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;LVMH;luxury goods;LVMH;acquired;1987;;;Europe;;;;;North,Founder
2014;764;Bernard Saul, II.;United States;USA;2.3;81.0;Financial;inherited;Third generation;inherited;Money Management;relation;male;banking, real estate;mortgage banking;B. F. Saul Company;new;1899;;;North America;3rd generation;;138.802093506;1.65703547001;North,Founder,Real Billionaires
1996;266;Bernardo Garza Sada;Mexico;MEX;1.5;0.0;Financial;inherited;Third generation;inherited;Diversified financial;relation;male;;aluminum;Grupo ALFA;new;1890;;397404138184.0;Latin America;3rd generation;;100.000007629;1.49999988079;North,Founder,Real Billionaires
2014;687;Bernd Freier;Germany;DEU;2.5;57.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;retail;fashion;s.Oliver;new;1969;;;Europe;;;138.802093506;1.80112552643;North,Founder,Real Billionaires
2001;1;Bill Gates;United States;USA;58.7000007629;45.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;;Software;Microsoft;new;1975;;10621824000000.0;North America;;;109.114585876;53.7966575623;North,Founder,Real Billionaires
2001;452;Bruce McCaw;United States;USA;1.10000002384;;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;cell phones;McCaw Cellular;new;1987;;10621824000000.0;North America;;;109.114585876;1.00811457634;North,Founder,Real Billionaires
2014;1284;C. Dean Metropoulos;United States;USA;1.3;67.0;Financial;self-made;;self-made finance;Diversified financial;investor;male;investments;private equity;Apollo Global management;new;1990;;;North America;;;138.802093506;0.936585247517;North,Founder,Real Billionaires
2014;146;Carlos Alberto Sicupira;Brazil;BRA;8.9;66.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;beer;investment banking/beer;Ambev;aquired;1999;;;Latin America;;;138.802093506;6.41200685501;North,Founder,Real Billionaires
2014;1284;Carlos Francisco Ribeiro Jereissati;Brazil;BRA;1.3;67.0;Financial;self-made;;self-made finance;Real Estate;founder;male;shopping malls;shopping centers;Inguatemi Empresa de Shopping Centers;new;1966;;;Latin America;;;;;North,Founder
2014;988;Chao Teng-Hsiung;Taiwan;Taiwan;1.8;70.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Farglory Land;new;1969;;;East Asia;;;138.802093506;1.29681038857;North,Founder,Real Billionaires
2014;687;Chey Tae-Won;South Korea;KOR;2.5;53.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;chariman;male;SK;petrochemicals, textiles;SK Corporation;new;1958;;;East Asia;currently serving a four year prison sentence for embezzlement;inherited from father;138.802093506;1.80112552643;North,Founder,Real Billionaires
1996;20;Chung Ju-yung;South Korea;KOR;5.90000009537;0.0;Financial;self-made;;self-made finance;Diversified financial;founder;male;;cars;Hyundai Group;new;1946;;603413139412.0;East Asia;;;100.000007629;5.89999961853;North,Founder,Real Billionaires
2014;1284;Ciputra;Indonesia;IDN;1.3;82.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Ciputra Development;new;1961;;;East Asia;;;;;North,Founder
2014;764;Clemmie Spangler, Jr.;United States;USA;2.3;81.0;Financial;inherited;inherited from father;inherited;Diversified financial;relation;male;investments;banking;Bank of North Carolina;new;1991;;;North America;inherited from father;;138.802093506;1.65703547001;North,Founder,Real Billionaires
1996;317;Craig McCaw;United States;USA;1.29999995232;46.0;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;cell phones;McCaw Cellular;new;1987;;8100200000000.0;North America;not only won FCC's lottery for setting up cable companies in early 1980s, also bought up other companies lottery winnings;;100.000007629;1.29999983311;North,Founder,Real Billionaires
2014;408;Daniel Gilbert;United States;USA;3.7;52.0;Financial;self-made;;self-made finance;Money Management;founder;male;Quicken Loans;real estate;Quicken Loans;new;1985;;;North America;;;138.802093506;2.66566586494;North,Founder,Real Billionaires
2014;388;Daniel Och;United States;USA;3.9;53.0;Financial;self-made;;self-made finance;Hedge funds;founder, chairman, ceo;male;hedge funds;hedge funds;Och-Ziff Capital Management Group;new;1994;;;North America;began his fund with 100m investment of Ziff brothers;;138.802093506;2.80975604057;North,Founder,Real Billionaires
2014;215;Dannine Avara;United States;USA;6.3;50.0;Traded Sectors;inherited;inherited from father;inherited;Non-consumer industrial;relation;female;pipelines;natural gas;Enterprise Products;new;1968;;;North America;inherited from father;;138.802093506;4.53883647919;North,Founder,Real Billionaires
2014;1442;Danny Tan Chee Sing;Malaysia;MYS;1.15;58.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Dijaya;new;1990;;;East Asia;;;138.802093506;0.828517735004;North,Founder,Real Billionaires
2014;281;David Green;United States;USA;5.0;72.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;retail;retail;Hobby Lobby;new;1970;;;North America;;;138.802093506;3.60225105286;North,Founder,Real Billionaires
2014;828;David Penaloza Sandoval;Mexico;MEX;2.1;67.0;Non-Traded Sectors;self-made;;founder non-finance;Constrution;founder;male;construction;construction;Pinfra;new;1969;;;Latin America;;;138.802093506;1.51294541359;North,Founder,Real Billionaires
2014;580;David Rockefeller, Sr.;United States;USA;2.9;98.0;Resource Related;inherited;Third generation;inherited;Energy;relation;male;oil, banking;oil;Standard Oil;new;1870;;;North America;family made most of fortune in the late 19th and early 20th century;no sisters, third generation;138.802093506;2.08930563927;North,Founder,Real Billionaires
1996;52;David Sainsbury;United Kingdom;GBR;4.09999990463;55.0;Non-Traded Sectors;inherited;Fourth generation;inherited;Retail, Restaurant;relation;male;;groceries;Sainsbury's;new;1869;;1304507020280.0;Europe;4th generation;;100.000007629;4.0999994278;North,Founder,Real Billionaires
2014;430;David Shaw;United States;USA;3.6;62.0;Financial;self-made;;self-made finance;Hedge funds;founder;male;hedge funds;hedge funds;D.E. Shaw & Co;new;1988;;;North America;;;138.802093506;2.59362077713;North,Founder,Real Billionaires
2014;122;David Tepper;United States;USA;10.0;56.0;Financial;self-made;;self-made finance;Hedge funds;founder;male;hedge funds;hedge funds;Appaloosa Management;new;1993;;;North America;;;138.802093506;7.20450210571;North,Founder,Real Billionaires
2014;27;David Thomson;Canada;CAN;22.6;56.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;male;media;media;Thomson Corporation (now Thomson Reuters);acquired;1934;;;North America;inherited from father;oldest son;;;North,Founder
2014;869;Dean White;United States;USA;2.0;90.0;Financial;inherited;inherited from father;inherited;Real Estate;relation;male;billboards, hotels;advertising;Whiteco Industries;new;1935;;;North America;inherited from father;;138.802093506;1.44090044498;North,Founder,Real Billionaires
1996;337;Dennis Washington;United States;USA;1.20000004768;61.0;Non-Traded Sectors;self-made;;founder non-finance;Constrution;founder;male;;construction;Washington Companies;new;1964;;8100200000000.0;North America;;;100.000007629;1.19999992847;North,Founder,Real Billionaires
2001;124;Dhirubhai Ambani;India;IND;3.40000009537;;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;;textiles;Reliance;new;1966;;493954333981.0;South Asia;;;109.114585876;3.11599040031;North,Founder,Real Billionaires
2014;325;Diane Hendricks;United States;USA;4.6;67.0;Non-Traded Sectors;self-made;;founder non-finance;Constrution;founder;female;roofing;roofing;ABC Supply;new;1982;;;North America;;;138.802093506;3.31407094002;North,Founder,Real Billionaires
2001;79;Dieter von Holtzbrinck;Germany;DEU;4.59999990463;59.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;male;;media;Holtzbrinck;new;1948;;1947928411630.0;Europe;inherited from father;;109.114585876;4.21575164795;North,Founder,Real Billionaires
1996;205;Donald Bren;United States;USA;2.0;63.0;Financial;self-made;;self-made finance;Real Estate;owner;male;;real estate;Irvine Company;aquired;1864;;8100200000000.0;North America;his original company was the Bren Company in 1958;;100.000007629;1.99999988079;North,Founder,Real Billionaires
2014;153;Donald Newhouse;United States;USA;8.5;84.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;male;media;media;Advance Publications;new;1909;;;North America;inherited from father;;138.802093506;6.12382698059;North,Founder,Real Billionaires
2001;490;Donald Schneider;United States;USA;1.0;65.0;0.0;inherited;inherited from father;inherited;Other;relation;male;;trucking;Schneider National;new;1935;;10621824000000.0;North America;inherited from father;;109.114585876;0.916467785835;North,Founder,Real Billionaires
2014;1465;Edir Macedo;Brazil;BRA;1.1;69.0;Non-Traded Sectors;self-made;;executive;Media;owner;male;broadcasting;media;Rede Record;aquired;1953;;;Latin America;;;;;North,Founder
2014;687;Eduardo Belmont Anderson;Peru;PER;2.5;68.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;cosmetics;cosmetics;Belcorp;new;1988;;;Latin America;;;138.802093506;1.80112552643;North,Founder,Real Billionaires
2014;731;Edwin Leong;Hong Kong;HKG;2.4;62.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Tai Hung Fai Enterprise;new;1977;;;East Asia;;;138.802093506;1.72908055782;North,Founder,Real Billionaires
2014;147;Elaine Marshall;United States;USA;8.8;71.0;Financial;inherited;spouse or widow;inherited;Diversified financial;relation;female;diversified;Oil refining;Koch industries;new;1940;;;North America;widow;;;;North,Founder
2014;1154;Ezra Nahmad;Monaco;MCO;1.5;68.0;0.0;self-made;;founder non-finance;Other;founder;male;art collection;art dealing;;new;1960;;;Europe;;;138.802093506;1.08067536354;North,Founder,Real Billionaires
2014;869;Florentino Perez;Spain;ESP;2.0;66.0;Non-Traded Sectors;self-made;;executive;Constrution;Chairman and Chief Executive Officer;male;construction;construction;Actividades de Construccion y Servicios;aquired;1983;;;Europe;;;138.802093506;1.44090044498;North,Founder,Real Billionaires
2014;687;Folorunsho Alakija;Nigeria;NGA;2.5;63.0;Resource Related;self-made;;privatized and resources;Energy;founder;female;oil;fashion/oil;Famfa Limited;new;1991;1.0;;Sub-Saharan Africa;fashion company included clients such as the former first lady, which helped her get an oil prospecting liscense in 1993;;138.802093506;1.80112552643;North,Founder,Real Billionaires
2001;363;George Lindemann;United States;USA;1.39999997616;64.0;Financial;self-made;;self-made finance;Money Management;Chairman and Chief Executive Officer;male;;media, pipelines;Vision Cable, Metro Mobile, Southern Union;new;1972;;10621824000000.0;North America;;;109.114585876;1.28305482864;North,Founder,Real Billionaires
2001;490;Gerald Cadogan;United Kingdom;GBR;1.0;;Financial;inherited;Fifth generation or longer;inherited;Real Estate;relation;male;;real estate;Cadogan Estates;new;1712;;1529094573200.0;Europe;7th generation;;109.114585876;0.916467785835;North,Founder,Real Billionaires
2014;100;German Khan;Russia;RUS;11.3;52.0;Resource Related;self-made;;privatized and resources;Energy;founder;male;oil, banking, telecom;oil and gas;Alfa Group;new;1989;;;Europe;;;138.802093506;8.14108753204;North,Founder,Real Billionaires
2001;251;Glen Taylor;United States;USA;1.89999997616;59.0;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;printing and electronics;Taylor Corporation;aquired;1975;;10621824000000.0;North America;;;109.114585876;1.74128866196;North,Founder,Real Billionaires
1996;67;Gregorio Perez Companc;Argentina;ARG;3.59999990463;61.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;oil;Petrolera Perez Companc;new;1968;;272149750000.0;Latin America;inherited from father;;100.000007629;3.59999966621;North,Founder,Real Billionaires
2014;1092;Gu Wei;China;CHN;1.6;49.0;Traded Sectors;self-made;;executive;Non-consumer industrial;chairman;male;manufacturing;electronics;Shenzhen MTC;new;2005;;;East Asia;;;138.802093506;1.15272033215;North,Founder,Real Billionaires
2014;375;Gustaf Douglas;Sweden;SWE;4.0;76.0;0.0;self-made;;founder non-finance;Other;founder;male;security;security;Investment AB Latour;new;1984;;;Europe;;;138.802093506;2.88180088997;North,Founder,Real Billionaires
1996;397;Halim Saad;Malaysia;MYS;1.0;0.0;Financial;self-made;;privatized and resources;Diversified financial;Chairman and Chief Executive Officer;male;;;Renong;;;1.0;100851389199.0;East Asia;In the 1980s, he was picked to run Renong, a group of companies closely linked to the ruling political party.;;100.000007629;0.999999940395;North,Founder,Real Billionaires
2001;387;Hans-Werner Hector;Germany;DEU;1.29999995232;61.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;;software;SAP AG;new;1972;;1947928411630.0;Europe;;;109.114585876;1.19140803814;North,Founder,Real Billionaires
2001;452;Harrison McCain;Canada;CAN;1.10000002384;73.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;;food;McCain Foods Limited;new;1956;;732716942149.0;North America;;;109.114585876;1.00811457634;North,Founder,Real Billionaires
2001;60;Hasso Plattner;Germany;DEU;5.40000009537;57.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;;software;SAP AG;new;1972;;1947928411630.0;Europe;;;109.114585876;4.94892597198;North,Founder,Real Billionaires
